"","rand_survey_id","id","year","fec","post","livelihoods_Z","income_Z_t","assets_Z_t","durableLoan_t","susFarm","lab_index","inc_ntfp_t","inc_farm_wage_t","totalIncome_t_us","consumptionExp_t_us","irregularExp_t_us","durableLoan_t_us","susFarm_us","inc_farm_wage_t_us","inc_ntfp_t_us","lab_index_us"
"1",956,1,2010,0,0,-0.749062450155943,-0.908760046030536,-0.37752011909648,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,-0.967210729794636,6.08677989216154,4.09462222433053,6.60665201234369,0,0,0,0,0
"2",956,1,2014,0,1,2.23815202942133,2.59234444821774,3.1173415032633,-0.343793346057863,2.0283655480684,0.661118034864951,-0.727056542736264,-0.967210729794636,8.64470654271103,5.91351031016013,9.01578429227059,0,2,0,0,2
"3",258,2,2010,0,0,-0.893871353856007,-0.661228139907864,-0.842867402850649,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,-0.967210729794636,6.79122272519066,2.64412076105863,7.0475179775001,0,0,0,0,1.8
"4",258,2,2014,0,1,0.442718357048568,0.756377936357511,0.826479308268618,-0.343793346057863,3.20212253480029,-1.5107859785903,-0.727056542736264,-0.967210729794636,7.31986536838594,6.12249761865175,8.50512065115953,0,3,0,0,0
"5",280,3,2010,0,0,-0.237856412421175,-0.506689138693093,0.360334581561581,-0.343793346057863,-0.319148425395377,-0.20764357051715,-0.727056542736264,-0.967210729794636,0,5.41166598110621,7.80791679417192,0,0,0,0,1.2
"6",280,3,2014,0,1,-0.267058144303706,-0.856600410738805,0.550065584068128,-0.343793346057863,-0.319148425395377,NA,-0.727056542736264,-0.967210729794636,6.21461209839819,6.04026038016345,6.58755191207899,0,0,0,0,NA
"7",416,4,2010,1,0,-0.93150376792052,0.130121617274508,-1.479429055392,-0.343793346057863,-0.319148425395377,-0.859214774553726,1.57163348522441,-0.967210729794636,7.46301908156388,4.94169343911329,7.94093988897257,0,0,0,4.94169343911329,0.6
"8",416,4,2014,1,1,0.237248953463144,0.325170957927849,0.721124034267605,-0.343793346057863,-0.319148425395377,1.74707004159258,-0.727056542736264,-0.967210729794636,6.68461329016427,5.13583303733057,8.37793117692986,0,0,0,0,3
"9",643,5,2010,0,0,-0.974750038074248,-1.07060845258012,-0.714373993077083,-0.343793346057863,-0.319148425395377,-0.859214774553726,-0.727056542736264,0.70120805202568,5.29834236561059,3.6116475737727,6.04026038016345,0,0,3.68950386898891,0,0.6
"10",643,5,2014,0,1,-0.144540836652014,-0.674301569290355,0.665952640952731,-0.343793346057863,-0.319148425395377,-0.424833971862676,-0.727056542736264,-0.967210729794636,0,6.06843094656867,7.51207154444085,0,0,0,0,1
"11",14,6,2010,0,0,0.0825881551840944,-0.330800433704607,0.876856707295281,-0.343793346057863,-0.319148425395377,-0.20764357051715,-0.727056542736264,-0.967210729794636,0,4.49993310426429,8.03268498138167,0,0,0,0,1.2
"12",14,6,2014,0,1,2.98741561648091,0.514568737896548,0.876856707295281,3.41406367014018,0.854608561336511,0.661118034864951,-0.727056542736264,-0.967210729794636,8.16051832911015,5.92426294652715,7.70345925150589,6.90775627898064,1,0,0,2
"13",65,7,2010,0,0,0.68805674919609,-0.457432512566482,2.17832230763565,-0.343793346057863,-0.319148425395377,-0.859214774553726,-0.7224049961632,0.0784896400597471,7.64970237422866,6.23832843971495,6.08677989216154,0,0,2.31243834127275,0.0099998333408328,0.6
"14",65,7,2014,0,1,0.84173376027625,1.3644204657765,1.19373784295101,-0.343793346057863,-0.319148425395377,0.299134032622409,-0.727056542736264,0.884405331907474,8.22577087099379,6.04026038016345,8.48879375923226,0,0,4.09462222433053,0,1.66666666666667
"15",936,8,2010,0,0,4.28506731302295,0.822965597759401,2.59422373893373,3.8903229790698,-0.319148425395377,1.095498837556,-0.727056542736264,0.0784896400597471,7.24708109188645,7.18690159259696,8.5059300400488,7.7832241899471,0,2.31243834127275,0,2.4
"16",936,8,2014,0,1,2.86557928031108,4.4213011991516,3.07577999750787,-0.343793346057863,-0.319148425395377,-0.786817974105218,-0.727056542736264,-0.967210729794636,9.76548905767345,5.39364820686909,9.20813795846513,0,0,0,0,0.666666666666667
"17",641,9,2010,0,0,-0.805129805510714,0.229842954581744,-1.2972573372192,-0.343793346057863,-0.319148425395377,-0.859214774553726,0.94022026865871,1.38109368805791,7.2283889781983,5.06263508830332,8.15478765534217,0,0,5.19298771365894,3.58428965186133,0.6
"18",641,9,2014,0,1,-0.590818318412726,-0.156030864796309,-0.59470581411471,-0.343793346057863,3.20212253480029,-1.5107859785903,-0.727056542736264,0.0784896400597471,5.34713020568319,6.21461209839819,8.0955987943288,0,3,2.31243834127275,0,0
"19",427,10,2010,0,0,-0.0672055544939711,0.617360976588601,-0.0953764691977971,-0.343793346057863,-0.319148425395377,-0.20764357051715,-0.727056542736264,0.0784896400597471,6.4297220794858,5.70911262948656,8.59785112847462,0,0,2.31243834127275,0,1.2
"20",427,10,2014,0,1,0.0216078303901985,-0.28328460532522,0.721124034267605,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,0.954080017542471,7.63046149743252,6.16121177251904,6.96224436101661,0,0,4.24869926123636,0,0
"21",135,11,2010,1,0,-0.79673418170877,-0.568316790352992,-0.714373993077083,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,1.32783510395579,6.63332016457782,5.86363924626486,7.28619218383322,0,0,5.07521287544521,0,1.8
"22",135,11,2014,1,1,1.58346143868372,4.04826168080296,0.774599206516172,-0.343793346057863,-0.319148425395377,-0.424833971862676,-0.727056542736264,0.0784896400597471,9.99925217658475,6.6385695023827,7.46164072250303,0,0,2.31243834127275,0,1
"23",738,12,2010,0,0,-0.327663705025844,0.586489329075965,-0.59470581411471,-0.343793346057863,-0.319148425395377,-1.5107859785903,1.24927864355978,-0.967210729794636,7.7142313441475,4.94169343911329,8.23747935860047,0,0,0,4.24869926123636,0
"24",738,12,2014,0,1,0.0247693207584202,-0.493942746106723,0.876856707295281,-0.343793346057863,-0.319148425395377,1.74707004159258,1.09285545855526,-0.967210729794636,6.85646309262599,4.02567041586982,7.39387866834011,0,0,0,3.91242276564126,3
"25",884,13,2010,1,0,1.05187742988445,0.536225799758531,2.20165785420293,-0.343793346057863,-0.319148425395377,-0.859214774553726,-0.727056542736264,-0.967210729794636,7.63530411963701,5.4553393776962,8.22951119007556,0,0,0,0,0.6
"26",884,13,2014,1,1,1.26992590238848,2.14530189365903,1.49680113645607,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,-0.967210729794636,8.59785112847462,6.66441064727272,8.73230459704775,0,0,0,0,0
"27",678,14,2010,0,0,0.265011728963252,0.912209603104794,0.360334581561581,-0.343793346057863,-0.319148425395377,1.095498837556,-0.727056542736264,1.19775704783897,8.38251834045415,5.17618165035366,7.91571333258045,0,0,4.78756117999381,0,2.4
"28",678,14,2014,0,1,0.994294463070799,1.97650163084555,1.0649309414997,-0.343793346057863,-0.319148425395377,-0.424833971862676,-0.727056542736264,-0.967210729794636,8.77585833864192,6.64118387402217,8.39615491399485,0,0,0,0,1
"29",718,15,2010,1,0,-1.17172421910278,-0.804544212527089,-1.2972573372192,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,-0.144896853986487,5.68359133639147,5.87774362796306,7.02997369485215,0,0,1.81844645923207,0,1.8
"30",718,15,2014,1,1,-0.290601868906118,-0.747967790705602,0.425904303679786,-0.343793346057863,-0.319148425395377,0.661118034864951,-0.727056542736264,-0.967210729794636,5.63480235802726,4.30424765824956,7.27239887482278,0,0,0,0,2
"31",360,16,2010,0,0,0.761197847450918,0.809919636361894,1.42584162962614,-0.343793346057863,-0.319148425395377,-0.859214774553726,0.823551924140949,-0.967210729794636,7.94661768845925,7.92515764293072,7.99294466145249,0,0,0,3.33347758688399,0.6
"32",360,16,2014,0,1,0.169628248578008,0.0589730990482727,0.774599206516172,-0.343793346057863,-0.319148425395377,-0.424833971862676,-0.727056542736264,-0.967210729794636,6.08677989216154,7.2327336582461,8.13388097404873,0,0,0,0,1
"33",67,17,2010,0,0,2.98259201316854,1.13678846460165,0.425904303679786,3.41406367014018,-0.319148425395377,1.095498837556,1.92613382576144,-0.967210729794636,8.10349436987531,6.41673495241491,8.38935987155924,6.90775627898064,0,0,5.70379358558213,2.4
"34",67,17,2014,0,1,0.242815876089974,-0.75280399944992,1.49680113645607,-0.343793346057863,-0.319148425395377,1.02310203710749,0.989161967428727,-0.967210729794636,6.75693374132702,4.91270894709587,6.71901461299254,0,0,0,3.68950386898891,2.33333333333333
"35",850,18,2010,0,0,-0.177664491111422,0.305688724384782,-0.0953764691977971,-0.343793346057863,-0.319148425395377,-0.20764357051715,-0.727056542736264,-0.967210729794636,6.44254270205838,5.81712001755527,8.38845036727044,0,0,0,0,1.2
"36",850,18,2014,0,1,-0.598776131385368,-0.484710377610622,-0.37752011909648,-0.343793346057863,-0.319148425395377,1.20409403822876,-0.727056542736264,0.884405331907474,7.64012340383434,4.60527017099142,6.26149532628005,0,0,4.09462222433053,0,2.5
"37",516,19,2010,1,0,-0.494394487927314,-0.462424347994712,-0.184439302579226,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,-0.0721276803634712,5.99421698848433,6.28600156226996,7.6458760536797,0,0,1.97936657746061,0,1.8
"38",516,19,2014,1,1,1.71244703891021,3.3939248072145,1.49680113645607,-0.343793346057863,-0.319148425395377,1.20409403822876,1.45946866920546,-0.967210729794636,9.42706336197018,5.83481928659217,8.75147451217695,0,0,0,4.70056300017719,2.5
"39",828,20,2010,1,0,0.290340710549041,0.474975292562421,0.721124034267605,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,1.92552569119958,7.92298608998611,5.04989709610426,7.97246613488061,0,0,6.39693243298235,0,1.8
"40",828,20,2014,1,1,0.246318218781634,0.428551000467385,0.665952640952731,-0.343793346057863,-0.319148425395377,1.74707004159258,-0.727056542736264,-0.967210729794636,8.47010162783283,5.63480235802726,6.57925314101687,0,0,0,0,3
"41",544,21,2010,0,0,0.46693649317274,0.973260057792807,0.721124034267605,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,-0.967210729794636,8.7193174022055,5.4293648650876,7.09007753021981,0,0,0,0,1.8
"42",544,21,2014,0,1,0.831729882901675,1.22218429952068,1.27459699640665,-0.343793346057863,-0.319148425395377,0.118142031501137,1.41514202715767,1.61208358286301,8.45616853477086,6.11368707446307,8.125631076009,0,0,5.70379358558213,4.60527017099142,1.5
"43",168,22,2010,0,0,-0.208021166534158,-0.690020970557636,0.550065584068128,-0.343793346057863,-0.319148425395377,0.443927633519425,1.51518749512862,0.884405331907474,7.21376885036932,5.28322949496107,6.26149532628005,0,0,4.09462222433053,4.82034659568175,1.8
"44",168,22,2014,0,1,-0.268776776588741,-0.593934406791618,0.360334581561581,-0.343793346057863,-0.319148425395377,0.661118034864951,0.667604069535434,0.70120805202568,6.46147061775103,5.96615331368081,7.29979782329547,0,0,3.68950386898891,2.99822295029797,2
"45",532,23,2010,0,0,1.09905934512966,-0.132660533960405,-0.842867402850649,2.26066599560438,-0.319148425395377,-0.20764357051715,0.03917346658396,1.40554182344268,7.428333547237,4.89789548698994,7.61874261890762,4.78756117999381,0,5.24705177184058,1.6472311463711,1.2
"46",532,23,2014,0,1,3.66655820540436,8.95718332381088,1.46168329568553,-0.343793346057863,2.0283655480684,-0.967809975226489,4.28729621285407,0.70120805202568,10.8023065389125,12.5098740998755,9.44604471157647,0,2,3.68950386898891,10.7797892766272,0.5
"47",656,24,2010,0,0,-1.10242456852467,-1.05409287233699,-0.981587579731952,-0.343793346057863,-0.319148425395377,0.443927633519425,-0.727056542736264,-0.967210729794636,2.99822295029797,2.36963744780851,6.50129192503952,0,0,0,0,1.8
